Iteration,Training_Loss
1199,1165646.1
1200,8398372.0
1201,37486444.0
1202,31842692.0
1203,15822080.0
1204,29356554.0
1205,5421468.5
1206,42536650.0
1207,7205098.0
1208,23065154.0
1209,11586291.0
1210,19905204.0
1211,15842722.0
1212,36119260.0
1213,5455538.5
1214,21834852.0
1215,1159057.1
1216,8365630.5
1217,37413060.0
1218,31723710.0
1219,15717151.0
1220,29187660.0
1221,5387659.0
1222,42282736.0
1223,7180090.0
1224,22934980.0
1225,11542379.0
1226,19869938.0
1227,15768316.0
1228,36049124.0
1229,5410119.5
1230,21723216.0
1231,1152554.9
1232,8333535.5
1233,37340320.0
1234,31610806.0
1235,15618346.0
1236,29020282.0
1237,5354899.5
1238,42033530.0
1239,7156593.0
1240,22810470.0
1241,11501652.0
1242,19835532.0
1243,15696295.0
1244,35981668.0
1245,5366081.0
1246,21616954.0
1247,1146962.6
1248,8302269.0
1249,37268620.0
1250,31498806.0
1251,15519847.0
1252,28857614.0
1253,5325319.5
1254,41790876.0
1255,7134984.0
1256,22687388.0
1257,11460972.0
1258,19801710.0
1259,15626252.0
1260,35913990.0
1261,5324024.0
1262,21510230.0
1263,1141640.8
1264,8271735.5
1265,37197850.0
1266,31391358.0
1267,15425367.0
1268,28697178.0
1269,5297365.5
1270,41551936.0
1271,7115355.0
1272,22567910.0
1273,11422370.0
1274,19768174.0
1275,15558316.0
1276,35847732.0
1277,5283116.0
1278,21406560.0
1279,1137058.0
1280,8241850.0
1281,37127644.0
1282,31285624.0
1283,15331807.0
1284,28539838.0
1285,5271992.5
1286,41317744.0
1287,7097357.5
1288,22450024.0
1289,11384099.0
1290,19735160.0
1291,15492009.0
1292,35781724.0
1293,5243780.5
1294,21303420.0
1295,1132910.6
1296,8212530.5
1297,37058056.0
1298,31182750.0
1299,15241538.0
1300,28384572.0
1301,5248229.0
1302,41088224.0
1303,7080957.0
1304,22334894.0
1305,11347516.0
1306,19702516.0
1307,15427634.0
1308,35716616.0
1309,5205741.5
1310,21201964.0
1311,1129321.8
1312,8183878.5
1313,36989156.0
1314,31082476.0
1315,15152852.0
1316,28232226.0
1317,5226780.5
1318,40862092.0
1319,7066397.5
