draw,delta,Year,Month,NN,Sax,Mosley,date
14,0.0071093662710827845,2004,7,44.69406127682044,36.4270251773139,32.9217596441761,2004-07-01
14,0.0071093662710827845,2004,8,42.82718888007911,32.2225893089656,30.4018512590676,2004-08-01
14,0.0071093662710827845,2004,9,28.856636362680234,27.5393104116167,32.6307118488807,2004-09-01
14,0.0071093662710827845,2004,10,44.005639962233055,28.2327981289782,31.766303426661,2004-10-01
14,0.0071093662710827845,2004,11,23.789263312023767,32.8381373540475,30.3444773786476,2004-11-01
14,0.0071093662710827845,2004,12,27.475624500272758,33.8666828966522,28.0724778408197,2004-12-01
14,0.0071093662710827845,2005,1,35.08319005276482,31.4615155398743,32.6671964988913,2005-01-01
14,0.0071093662710827845,2005,2,21.75777947870448,30.4934522754843,32.544889218487,2005-02-01
14,0.0071093662710827845,2005,3,38.62808215209981,33.6500493216966,35.7795726606667,2005-03-01
14,0.0071093662710827845,2005,4,34.757290117064954,32.4918181436384,33.8750117317527,2005-04-01
14,0.0071093662710827845,2005,5,19.912292742699766,35.1788021128944,29.6011765246062,2005-05-01
14,0.0071093662710827845,2005,6,50.30698697306955,34.764156329613,33.2454243669526,2005-06-01
14,0.0071093662710827845,2005,7,26.029321718236968,35.9844842594659,30.0612715531735,2005-07-01
14,0.0071093662710827845,2005,8,34.75460848902476,32.2556477236717,34.9235512406195,2005-08-01
14,0.0071093662710827845,2005,9,37.53913607872274,29.6351244067091,34.2360364309853,2005-09-01
14,0.0071093662710827845,2005,10,34.039470605928614,29.2210080367915,30.9919574982107,2005-10-01
14,0.0071093662710827845,2005,11,26.153048885745104,32.055035311153,31.8481434937687,2005-11-01
14,0.0071093662710827845,2005,12,31.345283010339454,33.1153968434087,30.532259086287,2005-12-01
14,0.0071093662710827845,2006,1,22.656078252760516,35.30346727897,35.013139522378,2006-01-01
14,0.0071093662710827845,2006,2,38.12384551630441,35.0798265185375,34.8342699673328,2006-02-01
14,0.0071093662710827845,2006,3,24.774454418652553,36.9804848612701,38.5993575231929,2006-03-01
14,0.0071093662710827845,2006,4,24.535547344040467,30.0198173238652,36.8786690520013,2006-04-01
14,0.0071093662710827845,2006,5,39.33438269371726,35.947193810547,33.8555136040802,2006-05-01
