Year,Month,NN,Sax,Mosley,Ridge_positive,Ridge_signed,date,Quarter,quarter_date
2018,3,53.34555017181562,50.0020448720278,51.3499000887713,51.59989816968854,49.55737521434091,2018-03-01,1,2018-01-01
2018,4,53.022211128614806,48.301590594633,51.3011191115688,54.04939708404706,50.8916493923136,2018-04-01,2,2018-04-01
2018,5,46.96622052023627,55.2542531197527,48.599540229475,46.95601841509237,47.37380363716984,2018-05-01,2,2018-04-01
2018,6,47.82078566380206,58.7092885457592,48.2224223084975,45.17989154341385,45.95460818470684,2018-06-01,2,2018-04-01
2018,7,45.57343440807725,59.7034984216858,49.5918806540573,44.08455299517624,44.37823179755656,2018-07-01,3,2018-07-01
2018,8,42.45762793419383,50.9941444695278,48.7065430850094,42.68154361917114,40.96096477813777,2018-08-01,3,2018-07-01
2018,9,44.525488627511166,38.8205455481799,45.0138975884834,46.10248521770951,46.50485638203176,2018-09-01,3,2018-07-01
2018,10,48.67085639245132,41.7322318492964,49.1501006965849,49.29324701128026,51.79013650179012,2018-10-01,4,2018-10-01
2018,11,49.66655510993743,45.0810192438188,47.8023891932594,51.43046760244516,57.110595792536586,2018-11-01,4,2018-10-01
2018,12,48.28128714730527,50.1191760622214,47.0514054022826,48.94611822309797,54.80485496883265,2018-12-01,4,2018-10-01
2019,1,48.6473119688301,49.1027900586767,54.80031396567,52.68854920267419,46.73481972150787,2019-01-01,1,2019-01-01
2019,2,60.42423596727264,48.4212107182351,54.8018654374564,61.445996319412814,59.35782301024668,2019-02-01,1,2019-01-01
2019,3,48.04480024918278,46.6341346430487,52.8627757344798,51.962435580311,47.02270878795999,2019-03-01,1,2019-01-01
2019,4,53.99162248408946,46.7104632536931,54.4785751133591,56.47644595481586,52.75311573032162,2019-04-01,2,2019-04-01
2019,5,47.96813199297544,53.6810072768872,53.8152679590093,49.41915482368396,49.76026005147459,2019-05-01,2,2019-04-01
2019,6,39.77272757131465,64.3453719534517,57.1244135901273,44.551349364536016,40.35549401780403,2019-06-01,2,2019-04-01
2019,7,53.812193989695146,62.2324027328319,52.3677447435473,49.838552217892016,50.04571859768627,2019-07-01,3,2019-07-01
2019,8,52.74008987851709,58.1899328060781,51.7154098748861,50.99524642894092,53.23643499130152,2019-08-01,3,2019-07-01
2019,9,59.28619488688319,52.0832504781083,50.7945917148856,55.46262954060512,60.26152187302566,2019-09-01,3,2019-07-01
2019,10,57.45916152094812,52.0346633211114,51.40141739702,55.838521617291086,59.73071443796838,2019-10-01,4,2019-10-01
2019,11,54.14868123732423,49.149651590035,49.3466538919055,51.455746689212766,55.30109351541859,2019-11-01,4,2019-10-01
2019,12,55.5503012320612,49.2605741469367,48.3364235567478,51.7108252397183,57.28574824437885,2019-12-01,4,2019-10-01
2020,1,52.69384320772027,64.8575094903009,56.3847411440971,59.173507847557154,56.53076336324163,2020-01-01,1,2020-01-01
2020,2,62.75829470383795,57.1789485216787,56.7782221948502,63.88302763426763,62.326324015937885,2020-02-01,1,2020-01-01
2020,3,64.92546956840674,48.8417392938259,58.9501577729054,64.43619379348013,68.02896510454673,2020-03-01,1,2020-01-01
2020,4,69.35834038789508,41.4356584765189,53.7960459898724,66.07441349878711,73.48488399614371,2020-04-01,2,2020-04-01
2020,5,52.823193160318624,55.8991122379014,55.0128236229421,51.78765254210983,51.97037200856229,2020-05-01,2,2020-04-01
2020,6,46.2051354245188,62.281890575743,58.5546511138948,48.55528395871833,43.16505978088673,2020-06-01,2,2020-04-01
2020,7,57.85709028469589,64.4119585243446,60.8714668704801,56.24392608019559,53.401197701430505,2020-07-01,3,2020-07-01
2020,8,55.58390181284481,55.0352772661056,57.0970500308191,52.79042255362509,52.00084643997301,2020-08-01,3,2020-07-01
2020,9,58.72934286240508,48.1622180077298,56.7261777202564,57.21657265561178,57.39917759731635,2020-09-01,3,2020-07-01
2020,10,51.21020438897565,58.144948248659,53.4167229920692,52.9759784577684,53.11160267474064,2020-10-01,4,2020-10-01
2020,11,46.21028501537475,55.2957635785278,49.372735857701,47.31681252882499,47.69020431116003,2020-11-01,4,2020-10-01
2020,12,53.60816723098935,60.4182438266475,55.0024727380952,51.50947649703698,52.85387105404342,2020-12-01,4,2020-10-01
2021,1,52.3953703702453,57.1981276158798,65.494543345899,55.74699319295468,49.88969293793746,2021-01-01,1,2021-01-01
2021,2,62.83675320944364,57.0099001603085,68.0164089378144,61.79258753049046,54.72840100143417,2021-02-01,1,2021-01-01
2021,3,61.28937600402169,60.0515078197742,62.7570050625515,61.57532578616102,55.77700905281941,2021-03-01,1,2021-01-01
2021,4,65.70856826643764,57.1901593642567,58.0122687177382,61.12048479920748,58.49109746280436,2021-04-01,2,2021-04-01
2021,5,58.49903721737672,61.9078286688688,58.8769278343267,58.1808895126653,54.01400505562753,2021-05-01,2,2021-04-01
2021,6,57.13263076057925,64.4759300431366,58.723047507006,54.695493405227104,52.61716388557986,2021-06-01,2,2021-04-01
2021,7,62.32243125331606,66.4385154023582,55.5378475709677,59.38771730582359,63.99705267533131,2021-07-01,3,2021-07-01
2021,8,61.57913942037575,63.9056310116516,58.1546681900062,59.86992632401453,60.96240057629903,2021-08-01,3,2021-07-01
2021,9,72.18108034032959,52.9951935425598,58.064936723569,68.76139425487112,73.32382201073179,2021-09-01,3,2021-07-01
2021,10,62.19287242742632,53.703170278717,57.2116986094352,62.86647061410766,72.93133033911518,2021-10-01,4,2021-10-01
2021,11,50.17445848045251,57.5208445648773,57.8179049496696,56.13560740488252,61.03405347511688,2021-11-01,4,2021-10-01
2021,12,43.40118256233663,57.3160918399525,51.0456428633576,49.58001018193554,51.94687183954405,2021-12-01,4,2021-10-01
